Area,Location,No. of Bedrooms,City,CarParking,SwimmingPool,24X7Security,LiftAvailable,ClubHouse,Price
1416,672,3.0,0,0.0,1.0,0.0,1.0,0.0,4956000.0
1521,672,3.0,0,0.0,1.0,0.0,1.0,0.0,5323000.0
1130,672,2.0,0,0.0,1.0,0.0,1.0,0.0,3954999.0
977,672,2.0,0,0.0,1.0,0.0,1.0,0.0,3419000.0
1529,672,3.0,0,0.0,1.0,0.0,1.0,0.0,5351000.0
1267,672,3.0,0,0.0,1.0,0.0,1.0,0.0,4434000.0
1725,214,3.0,0,1.0,1.0,1.0,1.0,1.0,9453000.0
1795,517,2.0,0,1.0,1.0,1.0,1.0,1.0,15000000.0
1000,517,1.0,0,1.0,1.0,1.0,1.0,1.0,8900000.0
1740,517,2.0,0,1.0,1.0,1.0,1.0,1.0,14400000.0
1490,517,2.0,0,1.0,1.0,1.0,1.0,1.0,12700000.0
1320,517,3.0,0,1.0,1.0,1.0,1.0,1.0,12500000.0
2330,517,4.0,0,1.0,1.0,1.0,1.0,1.0,20099999.0
2165,517,3.0,0,1.0,1.0,1.0,1.0,1.0,18800000.0
1645,517,2.0,0,1.0,1.0,1.0,1.0,1.0,13700000.0
1985,517,3.0,0,1.0,1.0,1.0,1.0,1.0,18900000.0
